filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
.\.git\objects\ce\70aa89887bbab88c00ed50f7790c7e89a53c11,33060,0o100444,-r--r--r--,2251799815443564,3693933532,2,0,0,130,1589480864.1532364,b'2020-05-14 18:27:44',1589480864.1532364,b'2020-05-14 18:27:44',1589480864.1532364,b'2020-05-14 18:27:44'
.\.git\objects\dc\2ea78e1c435e54653e3bab12575c3b8d981089,33060,0o100444,-r--r--r--,2251799815443712,3693933532,2,0,0,580,1589480864.2818925,b'2020-05-14 18:27:44',1589480864.2818925,b'2020-05-14 18:27:44',1589480864.2818925,b'2020-05-14 18:27:44'
.\.git\objects\fd\9b076504c79985a0713ff0116994b64fd8ce20,33060,0o100444,-r--r--r--,2251799815443552,3693933532,2,0,0,550,1589480864.139274,b'2020-05-14 18:27:44',1589480864.139274,b'2020-05-14 18:27:44',1589480864.139274,b'2020-05-14 18:27:44'
.\.git\objects\fe\23e5df0deaf4418fa3051dcefac78ed7c617b5,33060,0o100444,-r--r--r--,2251799815443618,3693933532,2,0,0,53,1589480864.211082,b'2020-05-14 18:27:44',1589480864.211082,b'2020-05-14 18:27:44',1589480864.211082,b'2020-05-14 18:27:44'
.\.git\refs\heads\master,33206,0o100666,-rw-rw-rw-,2251799815443784,3693933532,1,0,0,41,1589480864.397583,b'2020-05-14 18:27:44',1589480864.397583,b'2020-05-14 18:27:44',1589480864.3965852,b'2020-05-14 18:27:44'
.\.git\refs\remotes\origin\HEAD,33206,0o100666,-rw-rw-rw-,2251799815443772,3693933532,1,0,0,32,1589480864.3935935,b'2020-05-14 18:27:44',1589480864.3935935,b'2020-05-14 18:27:44',1589480864.3906012,b'2020-05-14 18:27:44'
.\.vs\ProjectSettings.json,33206,0o100666,-rw-rw-rw-,11540474046895504,3693933532,1,0,0,37,1589480869.562823,b'2020-05-14 18:27:49',1589480869.562823,b'2020-05-14 18:27:49',1589480869.561826,b'2020-05-14 18:27:49'
.\.vs\slnx.sqlite,33206,0o100666,-rw-rw-rw-,14073748837291401,3693933532,1,0,0,90112,1589483081.5787368,b'2020-05-14 19:04:41',1589483081.5787368,b'2020-05-14 19:04:41',1589480867.8423657,b'2020-05-14 18:27:47'
.\.vs\osstat\v16\.suo,33206,0o100666,-rw-rw-rw-,2251799815444100,3693933532,1,0,0,39936,1589485114.8410482,b'2020-05-14 19:38:34',1589485114.839,b'2020-05-14 19:38:34',1589481263.9659667,b'2020-05-14 18:34:23'
.\bin\osstat.py,33206,0o100666,-rw-rw-rw-,166351711236021580,3693933532,1,0,0,4017,1589483081.4101896,b'2020-05-14 19:04:41',1589483081.4101896,b'2020-05-14 19:04:41',1589480864.4175296,b'2020-05-14 18:27:44'
.\doc\README.md,33206,0o100666,-rw-rw-rw-,44473046320303397,3693933532,1,0,0,2167,1589485102.8901124,b'2020-05-14 19:38:22',1589485102.8901124,b'2020-05-14 19:38:22',1589480864.4185266,b'2020-05-14 18:27:44'
.\flussi\osstat_w.csv,33206,0o100666,-rw-rw-rw-,56013520365442724,3693933532,2,0,0,13181,1589485198.8496835,b'2020-05-14 19:39:58',1589485198.8496835,b'2020-05-14 19:39:58',1589481551.3233962,b'2020-05-14 18:39:11'
.\flussi\osstat_x.csv,33206,0o100666,-rw-rw-rw-,178736610211286230,3693933532,1,0,0,13698,1589482987.6786852,b'2020-05-14 19:03:07',1589482987.6786852,b'2020-05-14 19:03:07',1589480864.4195244,b'2020-05-14 18:27:44'
.\log\log.log,33206,0o100666,-rw-rw-rw-,103301316452836991,3693933532,1,0,0,393788,1589485198.848688,b'2020-05-14 19:39:58',1589485198.848688,b'2020-05-14 19:39:58',1589480864.421519,b'2020-05-14 18:27:44'
